City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constantia,44.1833,28.65,11.5,88,92,6.38,RO,1733598634
1,hithadhoo,-0.6,73.0833,27.79,73,18,5.63,MV,1733598823
2,carbonear,47.7332,-53.2148,1.0,79,100,6.22,CA,1733598824
3,waitangi,-43.9535,-176.5597,14.34,81,92,1.34,NZ,1733598507
4,yeppoon,-23.1333,150.7333,23.2,82,8,1.69,AU,1733598827
5,inirida,3.8653,-67.9239,30.51,59,100,0.5,CO,1733598828
6,olonkinbyen,70.9221,-8.7187,-6.03,73,99,10.69,SJ,1733598646
7,hermanus,-34.4187,19.2345,17.11,79,1,1.43,ZA,1733598572
8,nagqu,31.5,92.0,-5.53,24,5,1.86,CN,1733598762
9,anadyr,64.75,177.4833,-27.72,76,40,5.0,RU,1733598653
10,new norfolk,-42.7826,147.0587,10.4,71,6,5.84,AU,1733598833
11,ribeira grande,38.5167,-28.7,19.32,88,20,6.17,PT,1733598549
12,west island,-12.1568,96.8225,24.99,88,75,6.17,CC,1733598506
13,papatowai,-46.5619,169.4708,12.7,96,100,3.03,NZ,1733598595
14,blackmans bay,-43.0167,147.3167,11.07,76,1,0.89,AU,1733598557
15,yangjiang,21.85,111.9667,15.03,73,0,3.33,CN,1733598575
16,hawaiian paradise park,19.5933,-154.9731,25.5,77,0,2.06,US,1733598517
17,port-aux-francais,-49.35,70.2167,5.09,83,100,6.15,TF,1733598497
18,grytviken,-54.2811,-36.5092,0.01,73,100,0.85,GS,1733598614
19,cadale,2.7603,46.3222,26.68,81,16,6.99,SO,1733598844
20,tofol,5.3248,163.0078,27.96,80,97,6.66,FM,1733598845
21,tual,-5.6667,132.75,27.47,83,100,9.88,ID,1733598846
22,angaur state,6.906,134.13,28.59,78,83,3.45,PW,1733598847
23,adamstown,-25.066,-130.1015,22.88,77,59,9.8,PN,1733598503
24,college,64.8569,-147.8028,-10.86,84,75,0.0,US,1733598526
25,kristiansund,63.1115,7.732,3.4,75,75,1.54,NO,1733598850
26,douentza,14.9951,-2.9517,24.17,16,16,2.92,ML,1733598853
27,suntar,62.1444,117.6319,-19.42,93,11,2.96,RU,1733598854
28,vilyuysk,63.7553,121.6247,-20.57,96,74,3.57,RU,1733598586
29,kujang-up,39.8672,126.0303,-5.44,59,0,1.62,KP,1733598856
30,humaita,-7.5061,-63.0208,31.61,56,100,1.38,BR,1733598699
31,klyuchi,52.2667,79.1667,-10.01,97,85,2.87,RU,1733598616
32,puerto natales,-51.7236,-72.4875,13.25,44,75,12.35,CL,1733598583
33,khandud,36.9513,72.318,-17.43,71,86,0.61,AF,1733598861
34,praya,14.9215,-23.5087,26.3,65,20,6.17,CV,1733598862
35,skeldon,5.8833,-57.1333,27.86,73,16,3.67,GY,1733598863
36,avarua,-21.2078,-159.775,27.03,89,100,7.2,CK,1733598545
37,barcelona,41.3888,2.159,14.43,45,0,11.32,ES,1733598605
38,katsuura,35.1333,140.3,9.87,72,100,7.45,JP,1733598866
39,badger,64.8,-147.5333,-10.91,86,0,0.0,US,1733598615
40,nar'yan-mar,67.6713,53.087,-11.97,95,20,4.43,RU,1733598869
41,edinburgh of the seven seas,-37.0676,-12.3116,15.73,87,100,9.1,SH,1733598559
42,ouarzazat,30.9189,-6.8934,14.16,30,75,1.54,MA,1733598691
43,lucapa,-8.4192,20.7447,19.31,96,100,1.42,AO,1733598872
44,port hedland,-20.3167,118.5667,28.03,78,75,2.06,AU,1733598873
45,jamestown,42.097,-79.2353,-1.1,72,100,6.69,US,1733598608
46,isafjordur,66.0755,-23.124,-6.26,76,100,5.18,IS,1733598585
47,labrador city,52.9463,-66.9114,-13.23,72,80,6.71,CA,1733598632
48,ushuaia,-54.8,-68.3,11.64,63,54,1.1,AR,1733598430
49,bethel,41.3712,-73.414,4.56,52,75,3.09,US,1733598699
50,taksimo,56.3444,114.8794,-17.93,94,99,0.48,RU,1733598881
51,valday,57.9747,33.2525,-2.77,84,100,2.56,RU,1733598882
52,enewetak,11.3474,162.3373,27.78,82,100,10.11,MH,1733598883
53,longyearbyen,78.2186,15.6401,-1.09,74,75,6.17,SJ,1733598620
54,kitimat,54.0524,-128.6534,4.82,30,100,1.34,CA,1733598886
55,nemuro,43.3236,145.575,-2.57,60,7,2.6,JP,1733598887
56,yellowknife,62.456,-114.3525,-9.21,99,100,4.12,CA,1733598530
57,alofi,-19.0595,-169.9187,26.94,83,99,4.12,NU,1733598889
58,stanley,54.868,-1.6985,5.01,92,75,11.83,GB,1733598539
59,invercargill,-46.4,168.35,11.68,94,100,3.13,NZ,1733598733
60,hadibu,12.65,54.0333,25.14,72,86,6.12,YE,1733598895
61,noosa heads,-26.3833,153.15,21.89,89,10,4.14,AU,1733598896
62,genthin,52.4,12.1667,5.03,93,100,3.89,DE,1733598897
63,nadym,65.5333,72.5167,-19.49,98,24,3.77,RU,1733598723
64,masterton,-40.9597,175.6575,15.58,71,99,1.96,NZ,1733598899
65,luderitz,-26.6481,15.1594,20.46,67,0,8.98,,1733598601
66,necochea,-38.5473,-58.7368,15.92,47,6,9.44,AR,1733598894
67,naliya,23.2667,68.8333,21.13,49,100,2.33,IN,1733598903
68,brookings,44.3114,-96.7984,9.51,53,0,8.23,US,1733598904
69,gaalkacyo,6.7697,47.4308,26.84,56,89,7.33,SO,1733598905
70,gordonvale,-17.0936,145.7842,24.88,98,39,1.28,AU,1733598906
71,aasiaat,68.7098,-52.8699,-8.88,76,100,0.57,GL,1733598591
72,bredasdorp,-34.5322,20.0403,17.81,69,6,1.86,ZA,1733598512
73,lorengau,-2.0226,147.2712,26.72,84,100,4.02,PG,1733598752
74,garachico,28.7781,-17.7646,20.06,73,75,2.57,ES,1733598911
75,st. john's,47.5649,-52.7093,1.65,79,99,1.79,CA,1733598534
76,port mathurin,-19.6833,63.4167,24.78,87,100,8.87,MU,1733598790
77,cidreira,-30.1811,-50.2056,20.91,75,100,4.54,BR,1733598914
78,dudinka,69.4058,86.1778,-18.09,98,100,3.06,RU,1733598915
79,hoemul-li,41.4339,129.67,-2.92,39,0,3.02,KP,1733598917
80,puerto ayora,-0.7393,-90.3518,21.97,99,55,3.13,EC,1733598505
81,mount gambier,-37.8333,140.7667,10.23,71,1,2.48,AU,1733598919
82,margaret river,-33.95,115.0667,11.91,81,0,4.67,AU,1733598581
83,iqaluit,63.7506,-68.5145,-11.15,51,75,7.2,CA,1733598234
84,port alfred,-33.5906,26.891,21.77,83,3,2.24,ZA,1733598923
85,dabakala,8.3667,-4.4333,26.95,23,2,0.67,CI,1733598926
86,soio,-6.1349,12.3689,26.43,87,99,3.96,AO,1733598927
87,wimauma,27.7125,-82.299,21.03,63,0,1.34,US,1733598928
88,cabo san lucas,22.8909,-109.9124,24.31,61,100,1.03,MX,1733598807
89,selizharovo,56.8519,33.4487,-4.01,98,87,1.98,RU,1733598930
90,thompson,55.7435,-97.8558,-11.27,90,100,2.66,CA,1733598544
91,nacozari de garcia,30.3742,-109.6908,16.36,39,0,1.31,MX,1733598932
92,leava,-14.3,-178.1667,28.28,76,58,3.71,WF,1733598934
93,kingston,17.997,-76.7936,29.53,72,100,1.45,JM,1733598670
94,lazaro cardenas,17.9583,-102.2,29.07,63,100,2.76,MX,1733598533
95,ciudad madero,22.2667,-97.8333,22.11,88,75,4.12,MX,1733598937
96,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,56,75,10.0,RU,1733598593
97,kargopol',61.5071,38.9456,-5.95,94,100,2.98,RU,1733598939
98,saint-pierre,-21.3393,55.4781,25.82,65,0,1.54,RE,1733598319
99,tiksi,71.6872,128.8694,-25.04,99,76,2.94,RU,1733598672
100,gunupur,19.0833,83.8167,21.55,89,61,0.59,IN,1733598943
101,cassilandia,-19.1133,-51.7342,32.5,47,68,2.73,BR,1733598944
102,melfort,52.8667,-104.6177,2.07,80,100,5.14,CA,1733598840
103,fort stockton,30.894,-102.8793,10.97,70,100,1.54,US,1733598661
104,rurrenabaque,-14.4413,-67.5278,27.94,89,75,3.6,BO,1733598947
105,playa del ingles,27.7567,-15.5787,20.86,56,91,4.3,ES,1733598948
106,torghay,49.6339,63.4981,-7.14,65,0,3.25,KZ,1733598949
107,kapuskasing,49.4169,-82.4331,-11.0,85,100,6.69,CA,1733598747
108,la passe,45.5549,-0.8967,9.25,73,60,15.19,FR,1733598952
109,siguiri,11.6667,-9.5,24.75,20,100,1.38,GN,1733598953
110,atafu village,-8.5421,-172.5159,27.62,80,6,6.69,TK,1733598561
111,beaudesert,-27.9833,152.9833,22.08,23,0,0.23,AU,1733598955
112,itoman,26.1247,127.6694,18.01,94,75,12.86,JP,1733598771
113,albany,42.6001,-73.9662,0.86,71,100,3.59,US,1733598509
114,kentville,45.0835,-64.4988,-5.61,56,100,4.63,CA,1733598959
115,nantucket,41.2835,-70.0995,4.06,52,0,7.2,US,1733598745
116,portland,45.5234,-122.6762,7.01,95,100,3.09,US,1733598388
117,adam,22.3756,57.5233,21.24,40,71,5.03,OM,1733598962
118,quellon,-43.1167,-73.6167,14.55,60,14,5.84,CL,1733598963
119,san patricio,28.017,-97.5169,12.97,74,100,6.46,US,1733598610
120,vernon,50.2581,-119.2691,2.18,75,100,5.81,CA,1733598756
121,geraldton,-28.7667,114.6,20.23,88,0,3.6,AU,1733598966
122,callao,-12.0667,-77.15,22.16,68,0,3.09,PE,1733598968
123,qamdo,31.1667,97.2333,-4.27,63,2,3.28,CN,1733598969
124,palmas,-10.2128,-48.3603,32.93,55,40,4.12,BR,1733598626
125,juan griego,11.0817,-63.9655,30.15,58,0,5.66,VE,1733598971
126,lebu,-37.6167,-73.65,15.7,61,0,7.88,CL,1733598513
127,talnakh,69.4865,88.3972,-18.33,99,100,1.58,RU,1733598603
128,chonchi,-42.6128,-73.8092,17.59,47,15,0.77,CL,1733598750
129,greymouth,-42.4667,171.2,12.15,91,100,2.8,NZ,1733598574
130,whitehorse,60.7161,-135.0538,-12.57,92,75,1.03,CA,1733598388
131,sisimiut,66.9395,-53.6735,-2.76,71,100,4.94,GL,1733598573
132,nyurba,63.2842,118.3319,-21.34,95,32,3.14,RU,1733598695
133,port elizabeth,-33.918,25.5701,21.84,89,44,1.34,ZA,1733598496
134,huehuetan,15.0167,-92.3667,31.23,54,40,2.03,MX,1733598982
135,magadan,59.5667,150.8,-8.04,75,26,4.59,RU,1733598984
136,xining,36.6167,101.7667,-9.28,95,100,1.14,CN,1733598985
137,uturoa,-16.7333,-151.4333,26.95,78,17,8.39,PF,1733598986
138,ulladulla,-35.35,150.4667,19.64,94,0,0.7,AU,1733598987
139,beichengqu,40.4394,113.1536,-11.38,64,0,0.93,CN,1733598988
140,giyani,-23.3025,30.7187,23.33,72,6,4.1,ZA,1733598989
141,yanchep,-31.55,115.6833,19.84,53,0,6.65,AU,1733598990
142,sur,22.5667,59.5289,24.47,45,82,5.09,OM,1733598991
143,juneau,58.3019,-134.4197,4.5,100,100,0.0,US,1733598991
144,acarau,-2.8856,-40.12,28.86,64,100,7.43,BR,1733598784
145,bethanie,-26.4833,17.15,30.33,12,31,3.06,,1733598995
146,weilheim,47.8333,11.15,5.07,90,100,2.1,DE,1733598996
147,flying fish cove,-10.4217,105.6791,24.82,94,75,3.09,CX,1733598504
148,lihue,21.9789,-159.3672,23.77,88,40,0.0,US,1733598569
149,obo,5.3998,26.4869,24.75,37,60,1.09,CF,1733598999
150,cove,7.221,2.3402,28.1,28,100,1.52,BJ,1733598975
151,mount pearl,47.5166,-52.7813,1.19,80,75,7.2,CA,1733598792
152,trinidad,-14.8333,-64.9,27.72,81,100,3.16,BO,1733598708
153,port douglas,-16.4833,145.4667,26.11,87,52,3.67,AU,1733599004
154,tromso,69.6496,18.957,4.01,70,40,4.63,NO,1733599005
155,corinto,37.9407,22.9573,12.16,93,64,3.92,GR,1733599006
156,sievi,63.9,24.5,-1.55,76,100,3.56,FI,1733599007
157,nova sintra,14.8667,-24.7167,25.46,76,100,6.62,CV,1733598972
158,aykhal,66.0,111.5,-22.67,98,100,3.84,RU,1733598656
159,as sulayyil,20.4607,45.5779,19.87,33,0,2.66,SA,1733599011
160,pangoa,-12.1167,-73.0,23.55,97,100,0.6,PE,1733599012
161,chernyshevskiy,63.0128,112.4714,-21.12,94,11,3.44,RU,1733599013
162,island harbour,50.724,-1.2758,9.04,62,100,11.62,GB,1733599014
163,vadso,70.0744,29.7487,1.09,86,100,11.83,NO,1733598528
164,saipan,15.1355,145.701,27.39,76,0,5.14,MP,1733599016
165,ancud,-41.8697,-73.8203,15.31,60,8,3.76,CL,1733599017
166,anzhero-sudzhensk,56.081,86.0285,-8.03,95,100,2.48,RU,1733599019
167,puerto colombia,10.9878,-74.9547,31.05,65,16,7.97,CO,1733599020
168,belmonte,-15.8631,-38.8828,28.14,65,19,3.71,BR,1733599021
169,caconda,-13.7333,15.0667,19.33,64,96,1.49,AO,1733599022
170,pitanga,-24.7572,-51.7614,22.24,91,100,4.94,BR,1733599023
